word,word_occurrences
admire,6971
cane,2546
bald,11245
collect,6956
aunt,2554
quiet,13744
turn,9468
tuesday,2547
sorry,11230
bite,6979
needle,2550
lucky,11154
wrap,9627
wide,13779
stubborn,11157
have,6979
helmet,2614
uncomfortable,11300
put,7014
brave,11095
clap,7045
ink,2607
organized,11232
climb,7043
sign,9498
hairy,11342
reach,6935
invitation,2652
large,11179
become,7026
bathrobe,2524
filthy,11073
mind,6894
loop,2498
dull,11238
urge,9613
bird,2526
mild,10924
fall,9445
meeting,2627
anxious,11184
spin,7035
mosquito,2481
gentle,11152
escape,9629
cereal,2644
nervous,11114
airport,2598
rude,11152
sharp,6844
bicycle,2501
pink,13811
wash,7006
goose,2545
thin,11219
miss,6987
water,2543
young,13635
split,7006
seat,9312
cute,11293
close,6966
flashlight,2591
wealthy,11293
create,7021
heel,2641
bad,11085
dark,13750
hungry,10973
success,2558
cool,11242
complete,6823
holiday,2605
ugly,11157
replace,6887
rhythm,2532
healthy,11390
prevent,7039
ash,2609
dizzy,11514
pull,7004
crown,2572
tired,11291
fly,9633
coat,2610
popular,11181
stumble,6839
well,2594
easy,11110
brain,2593
modern,11292
rescue,6883
cactus,2514
crazy,11262
feel,7063
lawyer,2529
open,20563
dive,6815
cube,2512
wise,11208
borrow,6927
butterfly,2616
original,11248
weigh,7017
frame,2570
delicate,11317
flag,2557
pipe,2505
dirty,11067
ring,6863
zebra,2558
name,9568
bathroom,2556
harsh,11236
add,7002
careful,11078
deliver,7005
market,2626
lonely,11223
waste,2525
dare,6937
watch,9693
light,13740
gain,6973
apron,2610
furry,11211
gift,2516
jealous,11064
jog,9590
uniform,2465
helpful,11389
strike,6948
kid,2656
powerful,11227
use,6938
school,2584
pay,6906
taxi,2578
ant,2560
pause,6882
moon,2567
unique,11118
enter,7111
baseball,2559
brilliant,11228
roll,6928
cartoon,2540
jolly,11282
bedroom,2531
mail,9466
fan,2578
tell,6984
shade,2605
obedient,11114
show,6803
marble,2521
interesting,11163
shout,7120
spider,2455
heavy,11243
underground,2543
deaf,11243
join,6982
dinner,2590
scared,11253
plane,2533
spicy,11173
plan,6951
university,2594
cheerful,11261
touch,9508
knot,2722
good,11165
search,9452
new,11178
youth,2541
helpless,11211
peek,7073
bubble,2579
hurt,11273
swim,9434
idea,2575
grateful,11239
grab,6734
wild,13664
sour,11446
nap,9407
silver,2618
orange,13912
try,6932
blue,13768
tie,9486
week,2578
angry,11270
crawl,6942
nightmare,2583
weak,11238
repair,6871
ice,2532
elderly,11224
otter,2589
selfish,11296
candy,2525
gifted,11061
welcome,9337
mud,2557
kneel,6914
score,2591
curious,11235
quarrel,6865
umbrella,2564
colorful,11279
rest,6998
towel,2497
cheap,11142
twist,6949
cricket,2513
safe,13776
skirt,2550
comfortable,11245
scatter,6980
cold,13805
repeat,7086
network,2676
wear,6904
sandwich,2686
busy,11265
birdcage,2480
rough,11301
sigh,6865
pedal,2601
belong,6978
tree,2551
disgusting,11301
swing,9617
adventurous,11186
mirror,2568
dangerous,11310
test,9635
reef,2499
strong,11072
spend,7051
task,2645
support,6915
crib,2526
behave,6904
drain,2596
lock,9409
shrink,7040
patch,2635
unusual,11223
keep,7047
engine,2509
regular,11297
mix,7031
ear,2631
rare,11378
recognize,7102
child,2601
tuna,2563
boring,11192
look,9689
peaceful,10990
joke,9723
movie,2598
attractive,11193
muffin,2488
long,11434
garden,2606
let,7013
pocket,2636
clear,11349
give,7083
triangle,2587
adorable,11139
panic,6980
raft,2619
fragile,11161
win,9700
paint,9658
drum,2577
broken,11315
resist,7052
lovely,11144
set,6994
grumpy,11280
discuss,7036
mole,2671
fair,10976
slap,7004
wait,2566
green,13642
thank,6871
lung,2564
humble,11108
be,7074
rabbit,2456
yummy,11075
surprise,9648
copper,2613
intelligent,11335
remind,7002
secret,2652
slow,11146
tire,2679
fancy,11072
encourage,6925
pain,2598
raise,6831
veil,2586
clean,17937
big,11254
nod,6880
fisherman,2618
old,13983
start,9594
lie,7008
bug,2532
bull,2482
available,11248
wife,2591
write,7160
glass,2604
incredible,11272
succeed,7001
dry,18309
violin,2585
soft,11138
paw,2572
come,6887
doll,2596
television,2613
move,6926
hard,11266
ignore,6996
shark,2665
follow,6933
yesterday,2541
thick,11239
hug,9651
shoe,2564
golf,2585
design,7042
balloon,2633
sight,2545
perform,7110
salad,2632
mysterious,11035
farmer,2475
guilty,11091
spray,7045
desk,2537
thumb,2552
dependable,11021
drop,6928
cream,2587
pretty,11369
zip,9633
nose,2599
poor,11279
neck,2628
pale,11145
improve,7028
minute,2567
generous,11256
note,2575
make,6922
medal,2570
yellow,13777
drive,7023
cell,2592
need,7005
go,7045
walk,9606
blackboard,2546
gaze,7068
bookshelf,2589
popcorn,2537
loyal,11147
learn,7060
lake,2566
excited,11158
love,9491
onion,2585
cook,6883
lawn,2640
meat,2620
surrender,6907
nail,2690
calm,11199
rail,2572
toy,2535
stone,2493
nosy,11321
fur,2575
answer,6922
spaghetti,2616
lazy,11212
kitten,2550
thoughtful,11201
tap,2539
careless,11353
ride,6931
flower,2551
funny,11237
care,7011
do,6949
path,2555
juice,2540
hut,2600
huge,11160
rain,9587
bracelet,2576
polite,11276
soar,7030
pants,2575
permit,7052
dinosaur,2566
perfect,11014
discover,7028
space,2540
clever,11299
yield,6899
elephant,2523
gold,2592
stand,9682
mountain,2499
frown,6800
football,2569
realize,6988
video,2589
rush,7081
queen,2586
fast,11162
tease,6848
costume,2493
sing,6937
mitten,2664
impressive,11372
rise,7070
color,2445
ancient,11083
harbor,2615
graceful,11197
break,6882
kangaroo,2553
rocket,2649
lady,2563
invite,7020
daughter,2569
hang,6976
suit,2606
field,2641
loud,11290
question,9547
wet,13717
unpack,6984
motion,2529
spoil,7062
warm,11433
fashion,2553
unite,6850
crab,2628
alert,11338
order,9523
ashtray,2491
church,2540
glad,11232
value,9581
toe,2503
independent,11259
fight,9438
planet,2563
think,6996
rake,2536
chocolate,2604
wake,9533
pig,2609
ignorant,11267
march,9502
oil,2543
number,9610
office,2581
naughty,11344
egg,2605
bus,2617
friendly,10985
zoom,9631
paper,2543
hold,6865
motorcycle,2593
frustrated,11240
chess,2569
change,6935
math,2515
seem,6871
mug,2549
competitive,11230
dream,9538
pole,2607
sad,11056
soak,7116
slide,9449
decide,7020
flood,2630
burn,6916
robot,2573
important,11318
polish,7011
lunch,2562
envious,11321
glow,7074
row,2582
bright,11356
whistle,9467
tall,10962
life,2610
hide,7017
suggest,6817
bone,2485
see,6851
palm,2593
ready,11260
furniture,2585
tremble,7083
case,2589
arrive,7084
structure,2626
brown,11137
snap,6966
remain,6880
rhinoceros,2590
serve,7029
language,2585
hedge,2570
stupid,11190
novel,2529
fearful,11205
steal,7023
eager,11264
part,6883
woman,2621
high,11136
bow,9465
twin,2609
shampoo,2624
frightened,11215
share,6828
hockey,2580
smile,9487
tank,2562
threat,2522
finish,6957
grow,6987
tomato,2529
hidden,11411
point,9639
radish,2582
tough,11048
disappear,6892
nice,11257
fork,2594
diary,2456
guess,6983
sack,9606
plate,2570
pinch,6818
girl,2540
proud,11132
hurry,6967
tidy,11161
rubber,2628
laugh,6869
white,13682
gray,13911
whisper,6863
yoga,2602
shrug,6988
celery,2581
expensive,11416
pour,6888
junk,2598
bounce,7045
chain,2503
creative,11176
teach,9535
quiz,2612
notice,7001
toilet,2507
emergency,2511
modest,11074
purple,13697
eraser,2611
butter,2566
pick,9316
parade,2489
bathe,7021
mustache,2575
receive,6956
spot,2594
amazing,11140
skip,6985
stadium,2573
read,6891
money,2582
great,11034
branch,2526
tv,2501
yawn,6990
pirate,2611
organize,7066
bathtub,2526
shake,7014
boot,2599
sleepy,11256
island,2582
hot,13783
turkey,2549
applaud,7067
jewelry,2511
snake,2568
mask,2554
provide,7113
picture,2577
dance,9534
compassionate,11228
protect,7053
dish,2630
study,6771
shrimp,2533
tasty,11310
lift,6878
potato,2567
symbol,2611
circle,2652
troubled,11186
punish,6812
silence,2556
squeeze,6952
lion,2597
fat,10998
sand,2613
bloom,7095
reverse,7086
festival,2644
daddy,2621
solve,6862
wagon,2541
allow,6893
skin,2588
lean,7137
song,2594
kiss,6869
step,9517
herb,2511
stay,9568
waist,2626
reliable,11357
nest,2538
embarrassed,11017
body,2574
ladder,2572
observe,7040
fireman,2562
gear,2554
nation,2622
shiver,6992
barrel,2626
worried,11303
mark,9541
stage,2592
build,6951
rich,11253
deep,11262
wall,2625
sheep,2603
beautiful,11237
shoot,6916
sauce,2640
velvet,2531
carrot,2587
enjoy,7024
monkey,2675
empty,11300
want,7056
measure,9468
delay,6896
rock,9634
stable,2646
chubby,11347
hospital,2682
pastry,2613
hear,6925
mighty,11228
table,2648
house,2597
smart,11064
shine,6915
angel,2625
foolish,11232
taste,9491
introduce,7137
music,2586
help,7073
ice-cream,2500
count,6808
bowl,2642
treat,2631
silly,11098
trade,2576
take,7057
finger,2615
sea,2541
dead,11035
ordinary,11237
country,2648
ambulance,2598
talk,6897
microphone,2593
yell,7002
charming,11178
sun,2534
prize,2660
run,6848
upset,11078
blanket,2603
speak,6822
pupil,2537
gather,7001
thief,2571
trouble,2471
buckle,2558
hive,2576
coin,2611
include,6947
cry,6972
wreck,2557
cabin,2502
offer,7079
piece,2511
year,2487
useful,11217
decorate,6939
coal,2588
miserable,11121
choose,7112
yarn,2566
vanish,6880
dove,2546
person,2560
understand,6989
style,2665
match,9429
lemon,2526
computer,2518
hope,7068
hand,2583
leg,2570
happen,7124
delicious,11115
poem,2527
rot,6863
cross,2669
pack,6915
passport,2635
gorilla,2604
tail,2578
insect,2597
fun,2702
shop,2461
different,11280
kind,11320
mill,2507
sail,9506
bridge,2545
enthusiastic,11129
scream,6900
wardrobe,2519
catch,7064
glove,2650
monster,2559
scary,10895
veterinarian,2529
true,2624
dragon,2607
spread,6870
clock,2584
know,7021
brother,2537
cop,2643
brick,2504
leak,2592
fit,17974
seal,2537
visit,9489
sock,2560
yard,2553
wine,2530
stranger,2622
tight,11211
party,2583
restore,6876
flute,2591
ask,6876
skeleton,2625
bitter,11138
stare,6950
gun,2551
distant,11099
story,2537
send,6966
summer,2635
print,9654
time,2683
weird,11274
result,2520
suffer,6871
pizza,2504
recommend,7056
home,2540
leather,2656
east,2480
bean,2594
play,9653
diamond,2588
object,2573
train,2530
black,13927
envelope,2550
throw,6875
letter,2579
terrible,11157
thermometer,2551
poke,6885
igloo,2588
smelly,11030
buy,6992
phone,2639
princess,2587
powder,2565
thing,2551
stir,6894
cloth,2571
listen,7096
happy,11291
lay,7050
tent,2550
tear,6865
comfort,7198
image,2484
separate,6918
bulb,2503
noisy,11066
prince,2677
patient,13749
poppy,2592
figure,2536
hate,6959
journey,2502
regret,7002
pear,2498
return,6924
day,2543
insist,6963
baby,2556
race,9527
wisdom,2684
trunk,2504
gas,2654
iron,2527
witch,2623
page,2657
dust,2561
shy,11273
prepare,7119
cart,2600
impatient,11135
melt,7010
jar,2623
berry,2662
blouse,2500
fake,11161
museum,2525
restless,11284
morning,2601
freeze,6933
beach,2559
hero,2592
park,9560
street,2595
button,2639
couch,2588
dancer,2548
balance,6978
pretend,6986
faucet,2541
dress,9710
remember,7047
closet,2483
lose,6973
thread,2588
playful,11263
call,7013
pasta,2564
pumpkin,2594
successful,11070
peace,2589
red,11141
get,6794
palace,2513
dictionary,2549
eat,6909
apple,2576
forget,7011
scare,6932
sunday,2649
opera,2607
pony,2591
victory,2620
speed,9474
fountain,2564
sweater,2525
oyster,2539
metal,2556
load,6822
wander,6956
vehicle,2599
clown,2593
meal,2556
bury,7090
warn,7071
cheese,2539
saw,2519
news,2508
mention,7066
bake,7131
stove,2590
barber,2584
attach,7059
bring,6828
oasis,2565
star,2550
backyard,2601
lively,11127
examine,7013
pet,2666
spring,9442
bee,2585
screen,2464
tooth,2626
staff,2611
stretch,7061
screw,2482
nature,2635
itch,2631
hotel,2661
fierce,11189
pie,2592
shut,7046
cover,7031
map,2651
drink,7042
chimney,2635
doctor,2565
journal,2551
attic,2622
king,2617
billboard,2540
sit,7046
stomach,2637
end,6868
musician,2531
birthday,2485
history,2586
magic,2591
carry,6906
slip,7073
bookcase,2579
melon,2609
cocoa,2604
cat,2573
jet,2721
travel,7025
photo,2491
honest,11385
texture,2513
own,7150
sleep,6826
bossy,11212
store,9424
classroom,2559
horse,2542
round,2619
cut,9648
rub,9615
enormous,11391
sunshine,2713
unknown,11382
traffic,2575
trumpet,2597
smoke,2552
rope,2642
duck,2528
wave,9521
deer,2502
request,6903
peach,2661
yogurt,2556
puddle,2569
lead,6939
parent,2566
shore,2574
sunglasses,2557
mouth,2607
fairy,2640
bag,2572
forgive,7006
strip,2640
worry,9362
exam,2468
refuse,7024
lamp,2470
flame,2511
lend,7033
swan,2544
cushion,2575
work,9523
wheel,2620
today,2609
squash,2609
release,6882
confused,11164
battery,2609
rainbow,2685
pitch,2584
demand,6831
friend,2605
small,11212
quit,7075
pillow,2480
heal,7038
club,2531
file,2601
shelter,2578
fix,6978
castle,2527
remove,6984
reply,7065
lime,2601
human,2605
shadow,2626
left,2641
place,2614
belt,2564
leave,6995
lollipop,2547
sneeze,7029
crystal,2605
famous,11337
pass,9408
folder,2560
man,2602
harmless,11012
family,2560
explain,6963
pool,2560
settle,6837
plant,2627
cow,2660
record,6939
beetle,2516
trust,6881
tape,2511
jump,6864
card,2603
fox,2605
soil,2656
excite,6768
nurse,2600
building,2602
push,6947
strawberry,2623
smooth,11200
heart,2650
camp,2562
fish,2495
mall,2633
sunrise,2614
eye,2651
van,2549
feather,2565
book,2612
infant,2638
jungle,2569
frog,2503
panda,2563
inch,2607
crack,2549
yacht,2558
complain,6953
bell,2573
west,2590
makeup,2580
jelly,2573
winter,2549
zipper,2654
stamp,2600
supply,6969
luggage,2605
say,6978
neighbor,2564
stuff,2607
mint,2638
fold,6936
zoo,2611
cord,2502
octopus,2511
memory,2548
mushroom,2514
package,2523
normal,11154
display,7107
wish,2594
owner,2563
ashamed,11276
pilot,2552
trap,2660
clumsy,11199
relax,7026
earthquake,2577
whip,2632
fill,6869
fine,11356
wednesday,2650
maze,2472
group,2609
imagine,7146
soldier,2540
destroy,6942
spoiled,11159
hunter,2418
tea,2642
squirrel,2539
lily,2553
statue,2595
class,2552
night,2570
corn,2485
exercise,2605
pin,2503
chew,6773
head,2561
earth,2579
penny,2539
roof,2508
room,2612
hall,2513
find,6825
station,2514
jail,2523
reindeer,2541
haircut,2531
hurricane,2593
stack,2568
jewel,2614
reward,2594
missile,2581
spell,2504
blink,6980
waffle,2590
bed,2636
basketball,2537
wing,2555
zigzag,2635
sky,2518
upstairs,2527
automobile,2569
view,2607
leopard,2584
net,2645
rug,2555
gloomy,11174
rice,2544
messy,11338
plastic,2510
stream,2708
rag,2580
stop,6989
quick,2481
rod,2538
root,2569
accept,6897
disagree,6984
grocery,2608
equipment,2546
drawer,2519
nut,2483
hop,7026
armchair,2584
window,2639
hole,2650
cupboard,2552
ostrich,2606
worm,2590
motor,2612
comet,2560
sausage,2555
wood,2588
cauliflower,2613
x-ray,2607
gum,2595
serious,10978
piano,2503
perfume,2540
surf,2609
mystery,2630
bush,2501
pond,2682
celebrate,6948
flea,2648
raven,2577
unlock,6947
flexible,11092
calendar,2527
jeep,2601
cliff,2572
spirit,2532
subway,2589
tool,2547
peanut,2658
weep,7044
bandage,2538
sport,2519
honey,2652
please,7035
promise,9559
foot,2552
restaurant,2594
shape,2554
season,2628
kick,7009
knife,2566
caterpillar,2561
universe,2595
prune,2581
box,2678
switch,2519
tower,2644
purse,2501
coffee,2492
stick,2572
sunset,2530
persistent,11307
weapon,2605
word,2571
wallet,2560
judge,2608
tutor,2472
basket,2622
mist,2562
road,2511
dishwasher,2605
horn,2577
zero,2702
sort,7022
cake,2519
pastel,2572
floor,2589
whale,2550
reveal,6885
jam,2598
pill,2573
sweet,11296
gym,2661
embarrass,7051
side,2560
marry,7019
blocks,2526
save,7086
spoon,2558
knee,2625
painter,2494
food,2647
river,2585
wonder,9405
hose,2593
world,2516
newspaper,2517
shock,2513
bucket,2636
mine,2616
axe,2507
radio,2636
hill,2629
luxury,2632
splash,6972
oven,2523
napkin,2646
pencil,2628
picnic,2570
oat,2625
little,11036
struggle,7043
tray,2531
laundry,2576
fuel,2600
present,2552
lumber,2477
tornado,2629
teaspoon,2474
chair,2552
shelf,2512
mattress,2601
trip,2514
team,2474
farm,2599
jug,2584
pray,7000
garage,2533
dough,2630
face,2567
hat,2622
heat,2515
game,2555
arm,2574
feed,7070
mop,2569
key,2592
porch,2486
wheat,2601
navy,2547
pan,2475
believe,6936
manage,6825
vest,2557
ghost,2554
penguin,2627
knob,2521
act,6944
tour,2525
animal,2602
hay,2612
sheet,2580
factory,2515
dolphin,2562
truck,2621
mouse,2533
tube,2578
spark,2535
milk,2584
bench,2609
cable,2603
oxygen,2612
shower,2581
post,2580
vendor,2621
temple,2538
snack,2627
difficult,11269
cone,2463
vegetable,2530
law,2663
magnet,2559
pot,2560
clay,2624
icy,11352
scooter,2513
noise,2541
wire,2627
ceiling,2602
sell,6963
avocado,2707
vase,2663
brush,2638
pine,2633
alligator,2530
player,2608
top,2582
mixer,2621
firework,2545
cardboard,2676
jacket,2573
steam,2629
curtain,2535
war,2637
dessert,2559
license,2560
model,2618
truth,2542
landscape,2618
appear,6891
fog,2582
cave,2668
meet,7021
wind,2518
town,2517
kite,2617
pistol,2620
volcano,2543
way,2539
cookie,2611
opinion,2555
safari,2464
glue,2558
giant,2591
hippo,2557
bin,2572
cloud,2605
steak,2575
pattern,2601
boy,2632
dog,2534
toast,2570
vacation,2615
scale,2626
wipe,6934
wool,2611
gate,2559
car,2561
leaf,2633
kitchen,2531
daisy,2475
mechanic,2618
elevator,2583
bear,2610
lotion,2540
voice,2574
trail,2538
tide,2502
guitar,2595
sugar,2548
door,2602
thunder,2551
track,2521
valley,2496
log,2691
muscle,2545
mule,2648
square,2604
string,2623
helicopter,2575
cobweb,2651
hair,2605
sound,2649
scissors,2638
message,2551
oak,2578
rose,2528
ground,2617
spade,2464
telephone,2576
label,2560
alarm,2571
police,2546
ticket,2617
theater,2526
pebble,2600
shoulder,2500
port,2558
snow,2548
increase,7016
evening,2657
hammer,2566
fence,2480
ship,2578
collar,2581
pit,2604
weather,2491
chest,2523
boat,2517
spear,2667
noon,2513
city,2467
lab,2593
mineral,2616
sword,2629
will,2635
power,2577
goal,2501
wink,2558
lightning,2539
sailor,2483
swamp,2584
lip,2502
tunnel,2563
stair,2655
cage,2669
mailbox,2559
blueberry,2546
soap,2595
pen,2512
wolf,2626
carpet,2580
uncle,2582
grill,2496
yet,2455
steel,2559
disturb,6887
sink,2569
roar,6843
candle,2626
massage,2574
board,2595
goat,2614
medicine,2520
crane,2548
machine,2522
event,2559
chicken,2553
olive,2606
exit,2526
shield,2465
ranch,2624
storm,2511
library,2628
shirt,2471
price,2510
line,2622
refrigerator,2547
hanger,2599
grape,2619
skull,2501
jazz,2645
soup,2617
scarf,2623
clothes,2591
ocean,2583
pigeon,2534
sunflower,2608
creek,2746
forest,2572
guard,2469
shell,2542
cherry,2575
beef,2551
freezer,2523
laser,2445
arrow,2586
film,2520
under,2556
tiger,2590
bottle,2557
lizard,2525
salt,2553
broccoli,2519
lecture,2583
stitch,2508
pepper,2648
crocodile,2543
spike,2605
grass,2577
weight,2481
menu,2542
puppy,2587
job,2569
band,2462
village,2545
banana,2564
vine,2618
fridge,2514
acorn,2622
owl,2551
chamber,2515
tip,2586
parrot,2530
driver,2599
chalk,2562
jellyfish,2662
notebook,2600
magazine,2553
twig,2611
handle,2637
kayak,2555
mother,2605
leash,2515
operation,2633
comb,2627
treasure,2637
barn,2554
cap,2550
land,2586
rat,2599
gem,2511
crayon,2580
microscope,2621
fire,2568
puzzle,2649
hook,2601
sister,2576
cooler,2608
cabinet,2568
ornament,2526
marriage,2545
poison,2565
razor,2620
hoop,2601
trophy,2520
camera,2642
fireplace,2621
fruit,2574
aeroplane,2618
anchor,2621
cup,2640
